flightNumber,departingFrom,arrivingAt,departure,arrival,aircraftID,pilot1,pilot2,fa1,fa2,fa3
118,KEF,LYR,2019-11-20T06:40:00,2019-11-20T10:40:00,TF-LNQ,4,9,15,25,30
119,LYR,KEF,2019-11-20T11:40:00,2019-11-20T15:40:00,TF-LNQ,5,8,14,31,33
120,KEF,LYR,2019-11-22T06:23:00,2019-11-22T10:23:00,TF-XZR,3,7,16,26,29
121,LYR,KEF,2019-11-22T11:23:00,2019-11-22T15:23:00,TF-XZR,3,7,16,26,29
122,KEF,LYR,2019-11-24T06:37:00,2019-11-24T10:37:00,TF-XUP,1,7,17,27,32
123,LYR,KEF,2019-11-24T11:37:00,2019-11-24T15:37:00,TF-XUP,1,7,17,27,32
124,KEF,LYR,2019-11-26T06:25:00,2019-11-26T10:25:00,TF-TYQ,4,9,20,28,28
125,LYR,KEF,2019-11-26T11:25:00,2019-11-26T15:25:00,TF-TYQ,4,9,20,28,28
126,KEF,LYR,2019-11-28T06:25:00,2019-11-28T10:25:00,TF-LNQ,2,12,18,22,31
127,LYR,KEF,2019-11-28T11:25:00,2019-11-28T15:25:00,TF-LNQ,2,12,18,22,31
128,KEF,LYR,2019-11-30T05:23:00,2019-11-30T09:23:00,TF-IZE,4,12,17,28,26
129,LYR,KEF,2019-11-30T10:23:00,2019-11-30T14:23:00,TF-IZE,3,7,14,32,34
130,KEF,GOH,2019-11-08T10:31:00,2019-11-08T13:31:00,TF-XZM,4,12,17,28,26
131,GOH,KEF,2019-11-08T14:31:00,2019-11-08T17:31:00,TF-XZM,3,7,14,32,34
132,KEF,GOH,2019-11-12T10:45:00,2019-11-12T13:45:00,TF-XZR,2,9,13,26,36
133,GOH,KEF,2019-11-12T14:45:00,2019-11-12T17:45:00,TF-XZR,2,9,13,26,36
134,KEF,GOH,2019-11-20T10:24:00,2019-11-20T13:24:00,TF-XUP,5,12,19,35,24
135,GOH,KEF,2019-11-20T14:24:00,2019-11-20T17:24:00,TF-XUP,5,12,19,35,24
136,KEF,GOH,2019-11-24T10:43:00,2019-11-24T13:43:00,TF-XZR,3,7,15,27,22
137,GOH,KEF,2019-11-24T14:43:00,2019-11-24T17:43:00,TF-XZR,4,8,18,22,34
138,KEF,GOH,2019-11-28T09:18:00,2019-11-28T12:18:00,TF-EPG,3,7,15,27,22
139,GOH,KEF,2019-11-28T13:18:00,2019-11-28T16:18:00,TF-EPG,4,8,18,22,34
140,KEF,KUS,2019-11-06T14:31:00,2019-11-06T16:31:00,TF-UVR,3,7,19,29,36
141,KUS,KEF,2019-11-06T17:31:00,2019-11-06T19:31:00,TF-UVR,3,7,19,29,36
142,KEF,KUS,2019-11-30T13:22:00,2019-11-30T15:22:00,TF-XZM,5,8,17,25,28
143,KUS,KEF,2019-11-30T16:22:00,2019-11-30T18:22:00,TF-XZM,3,7,18,30,36
144,KEF,FAE,2019-11-18T00:00:00,2019-11-18T01:00:00,TF-LNQ,5,8,17,25,28
145,FAE,KEF,2019-11-18T02:00:00,2019-11-18T03:00:00,TF-LNQ,3,7,18,30,36
146,KEF,FAE,2019-11-30T00:00:00,2019-11-30T01:00:00,TF-UVR,6,12,13,23,33
147,FAE,KEF,2019-11-30T02:00:00,2019-11-30T03:00:00,TF-UVR,6,12,13,23,33
148,KEF,LWK,2019-11-06T00:00:00,2019-11-06T02:00:00,TF-TYQ,3,7,18,30,26
149,LWK,KEF,2019-11-06T03:00:00,2019-11-06T05:00:00,TF-TYQ,3,7,18,30,26
150,KEF,LWK,2019-11-24T00:00:00,2019-11-24T02:00:00,TF-PGK,2,8,15,33,29
151,LWK,KEF,2019-11-24T03:00:00,2019-11-24T05:00:00,TF-PGK,2,8,15,33,29
152,KEF,LYR,2019-12-20T06:45:00,2019-12-20T10:45:00,,,,,,
153,LYR,KEF,2019-12-20T11:45:00,2019-12-20T15:45:00,,,,,,
154,KEF,LYR,2019-12-22T06:16:00,2019-12-22T10:16:00,,,,,,
155,LYR,KEF,2019-12-22T11:16:00,2019-12-22T15:16:00,,,,,,
156,KEF,GOH,2019-12-21T06:21:00,2019-12-21T09:21:00,,,,,,
157,GOH,KEF,2019-12-21T10:21:00,2019-12-21T13:21:00,,,,,,
158,KEF,GOH,2019-12-24T05:24:00,2019-12-24T08:24:00,,,,,,
159,GOH,KEF,2019-12-24T09:24:00,2019-12-24T12:24:00,,,,,,
160,KEF,KUS,2019-12-20T06:27:00,2019-12-20T08:27:00,,,,,,
161,KUS,KEF,2019-12-20T09:27:00,2019-12-20T11:27:00,,,,,,
162,KEF,KUS,2019-12-24T06:15:00,2019-12-24T08:15:00,,,,,,
163,KUS,KEF,2019-12-24T09:15:00,2019-12-24T11:15:00,,,,,,
164,KEF,FAE,2019-12-24T09:18:00,2019-12-24T10:18:00,,,,,,
165,FAE,KEF,2019-12-24T11:18:00,2019-12-24T12:18:00,,,,,,
166,KEF,FAE,2019-12-26T09:27:00,2019-12-26T10:27:00,,,,,,
167,FAE,KEF,2019-12-26T11:27:00,2019-12-26T12:27:00,,,,,,
168,KEF,LWK,2019-12-21T10:23:00,2019-12-21T12:23:00,,,,,,
169,LWK,KEF,2019-12-21T13:23:00,2019-12-21T15:23:00,,,,,,
170,KEF,LWK,2019-12-24T09:39:00,2019-12-24T11:39:00,,,,,,
171,LWK,KEF,2019-12-24T12:39:00,2019-12-24T14:39:00,,,,,,
172,KEF,LWK,2019-12-27T09:40:00,2019-12-27T11:40:00,,,,,,
173,LWK,KEF,2019-12-27T12:40:00,2019-12-27T14:40:00,,,,,,
